,subscriber,income,healthcare,quality childcare,education,affordable housing,children health insurance,# of children younger than 8,employment,children relationship score
0,00029a87-e949-44e8-beaa-b9680f5e55c7,,,,,,,,,
1,0005eafe-c416-4226-af97-7d3a2bf7636f,"Under $50,000",Yes,Yes,,No,Medicaid or CHIP,4,,
2,0006ed40-7821-459d-a68a-8748ae91f136,,,,,,Private (through parent/caregiver),,,
3,00110b62-0019-408d-b8f9-e6fd586055aa,,,,,,Medicaid or CHIP,,,
4,001489b1-5dd5-4f42-8ed2-3db1b420cc82,,,,,,,,,
5,0018e562-a69b-4bc1-9c2d-857771c75449,,,,,,,,,
6,0019bf98-b86f-422d-8d30-ab46eef5c7b8,,,,,,Private (through parent/caregiver),,,
7,001c0bd4-4fce-42e4-81ef-22de3ed0a8e3,,,,,,Private (through parent/caregiver),,,
8,00393e6e-7f93-4e2b-8232-e73c76053fae,,,,,,Medicaid or CHIP,,,
9,003a4f81-3847-4ea0-b64c-7876558bcb60,,,,,,Medicaid or CHIP,,,
10,003b4225-6386-4adf-9cb6-b94c67ea0449,,,,,,Medicaid or CHIP,,,
11,003d1e38-2bff-4291-9c1f-69d44f1e5fc4,,,,,,,,,
12,003d63d5-6e10-4e86-985c-a2a4da052cf0,,,,,,Private (through parent/caregiver),,,
13,003e0a58-b4e5-437a-a9d7-4ca5e6eb0c08,,,,,,,,,
14,003f3633-765e-4eb8-ba02-4f6c4bcf6d60,,,,,,Private (through parent/caregiver),,,87.0
15,00419605-86d9-46db-8a75-bb8b97d9ac82,,,,,,,,,
16,0047486c-48dd-425f-905f-b09aaea1cbec,,,,,,Don't Know,,,
17,0047a9ea-8f90-4177-9185-7a673e054e06,,,,,,Private (through parent/caregiver),,,
18,004ff98f-8f6c-480f-9b39-922252e5d715,,,,,,,,,
19,005337d8-3ce6-422a-bddd-ce90dbb195fa,,,,,,Private (through parent/caregiver),,,
20,005d0932-11f3-4c9c-b03d-2745daa7efe0,,,,,,Don't Know,,,
21,005d0e0d-a7a9-4365-8108-db1cc898b101,,,,,,Don't Know,,,
22,005e752f-529a-4379-905e-60566a8102bd,,,,,,Private (through parent/caregiver),,,
23,0061c80f-de6d-46d8-bcbe-ab89ff780760,,,,,,,,,
24,0062eb3e-6e5c-4da2-b7bb-1e9029f8f5ba,,,,,,Private (through parent/caregiver),,,
25,006310bc-89a3-4f0b-972b-515a8307e122,,,,,,Private (through parent/caregiver),,,
26,0064bd7c-7253-4d3a-984c-2337fe4a5722,"Over $75,000",Yes,N/A,,Yes,Private (through parent/caregiver),1,Full-time homemaker,60.0
27,006615c3-c3db-4b14-8d1d-7e8cf34f19c8,,,,,,Private (through parent/caregiver),,,
28,006bf5da-4cf0-4d07-93c9-fb2e37806a7b,,,,,,Medicaid or CHIP,,,
29,0072d702-20b5-49c6-8220-796878233587,,,,,,Private (through parent/caregiver),,,
30,00737c5d-36ac-4d08-8438-fecdb5631819,,,,,,Private (through parent/caregiver),,,
31,00743dd8-372d-49db-b226-d0e714ec1c6a,,,,,,Medicaid or CHIP,,,
32,007634b3-359e-4aa5-81ba-4d1ac91466cd,,,,,,,,,
33,0079650c-074d-44d6-bb1d-654dc8b1e45b,,,,,,Medicaid or CHIP,,,
34,007b0df3-11ab-4d33-9162-77946f348e93,,,,,,Private (through parent/caregiver),,,
35,007b3765-7378-4184-b3ba-38c25492d895,,,,,,Medicaid or CHIP,,,
36,007beedf-ac42-42d7-948c-4a8f5bc82870,,,,,,Medicaid or CHIP,,,
37,0082599a-e579-4ae4-bc4a-9959d4ab1cfa,,,,,,Medicaid or CHIP,,,
38,00892c8b-a419-49b3-9648-39b98c353cc8,,,,,,Medicaid or CHIP,,,
39,008c3d1b-bbc3-403a-bf5c-49ca2e10b70d,,,,,,Medicaid or CHIP,,,
40,008f6116-e529-4692-9009-275fcc2c3701,,,,,,Medicaid or CHIP,,,
41,009b7371-d0fe-4ade-b94b-77b52932448f,,,,,,,,,
42,009f12af-595f-4578-a887-0e4c32bb155c,"Over $75,000",Yes,N/A,,N/A,Medicaid or CHIP,2,Employed full-time outside of the home,77.0
43,009f12af-595f-4578-a887-0e4c32bb155c,"Over $75,000",Yes,N/A,,No,Medicaid or CHIP,2,Employed full-time outside of the home,77.0
44,009f12af-595f-4578-a887-0e4c32bb155c,"Over $75,000",Yes,Yes,,N/A,Medicaid or CHIP,2,Employed full-time outside of the home,77.0
45,009f12af-595f-4578-a887-0e4c32bb155c,"Over $75,000",Yes,Yes,,No,Medicaid or CHIP,2,Employed full-time outside of the home,77.0
46,00a2faf3-20e1-4f5b-bd4d-7d67faccf109,"Under $50,000",Yes,N/A,,Yes,Don't Know,1,Employed part-time outside of the home,79.0
47,00a4733a-b071-4511-909e-5c0f6992e523,,,,,,Private (through parent/caregiver),,,
48,00abf2f6-a011-4779-b157-1cb779fb7fa8,,,,,,Private (through parent/caregiver),,,
49,00af55b5-d451-4525-b20e-f6dbbfc7f891,,,,,,Medicaid or CHIP,,,
50,00afefa3-dad5-4804-b609-a47eb8540e46,,,,,,Private (through parent/caregiver),,,
51,00bdb2b6-6515-4bcf-98ca-c1b90c1fc10d,,,,,,Private (through parent/caregiver),,,
52,00c182eb-e68b-44e9-8a91-f1c0eee51085,,,,,,Private (through parent/caregiver),,,
53,00c26c9b-42b1-4f66-978f-d746733c9347,,,,,,Medicaid or CHIP,,,
54,00c6d79d-7c51-4138-bc0f-8e9d5bed2885,,,,,,,,,
55,00c83044-6012-4f95-b9ea-bd3fc5dcf20d,,,,,,Private (through parent/caregiver),,,
56,00cb7f09-b1f0-4e78-bdba-e0c177848e5e,,,,,,Private (through parent/caregiver),,,
57,00cb9bd9-65b9-4912-b82c-517174acfe11,,,,,,Don't Know,,,
58,00d0dceb-d9f3-4102-beff-b72d6bddedac,"Under $50,000",Yes,Yes,,Yes,Medicaid or CHIP,2,Employed part-time outside of the home,
59,00d1a46f-14dc-4730-8eb7-4612d95480c6,,,,,,,,,
60,00d5458c-e300-4fc2-9b2e-d07d819d6efa,,,,,,,,,
61,00dc2d81-e0d4-4ccc-aec4-36325b8be39f,,,,,,Medicaid or CHIP,,,
62,00dc9657-4e7d-4123-b99f-5046e3e4ef05,"Over $75,000",Yes,Yes,,Yes,Private (through parent/caregiver),2,Employed full-time outside of the home,
63,00dce389-05c0-4026-91e4-f10067f04ec3,,,,,,,,,
64,00dd4106-cd95-4300-9417-9dad83cddc78,,,,,,,,,
65,00e14d26-4316-4fb2-a4a9-309f80488499,,,,,,Private (through parent/caregiver),,,
66,00e2a4bd-fdca-4a03-9d06-d3808a3bece4,,,,,,Medicaid or CHIP,,,
67,00e2df28-01e9-4f49-b2df-8b4e7576d486,,,,,,Private (through parent/caregiver),,,
68,00e3469d-5857-497b-92e2-f0a23fe2e9d0,,,,,,,,,
69,00e44c9d-ce87-4081-8139-d3d2b19c2ea8,,,,,,,,,
70,00e715da-32f2-4dd2-a7c8-edf2c6644228,,,,,,Private (through parent/caregiver),,,
71,00eb737b-e04a-46d6-8b1f-ef3a2a478959,,,,,,Private (through parent/caregiver),,,
72,00ee2eda-8096-4e0b-9b4a-7b2b67b2e938,,,,,,Medicaid or CHIP,,,
73,00efa657-56c5-4e38-96f8-720f6ddf6ede,,,,,,Private (through parent/caregiver),,,
74,00f386bb-0e01-4417-9b8b-b2daec980ae8,,,,,,Medicaid or CHIP,,,
75,00f41976-6474-4b7f-984a-b551ad2cc706,"Under $50,000",Yes,N/A,,No,Medicaid or CHIP,1,Employed part-time outside of the home,
76,00f7647a-9e05-4c0b-abe1-37a43681f8b1,,,,,,Medicaid or CHIP,,,
77,00f9034e-8a16-43fd-abb5-5546fd72e2d3,,,,,,None,,,
78,00fb4531-d1a5-48b2-af94-8310cc9fd2e4,,,,,,Don't Know,,,
79,00fbb9d6-1972-4d27-8271-c45c2555a95e,,,,,,Private (through parent/caregiver),,,
80,00fc1055-3af6-4fa8-b176-42f9896815be,,,,,,Medicaid or CHIP,,,
81,00fcc21f-f710-4f13-9a08-163184909a5e,,,,,,Private (through parent/caregiver),,,
82,010404a2-6aff-4a21-b445-3a2548b64c58,,,,,,,,,
83,011708f9-3ef9-4952-8ec9-736319d3d04a,,,,,,,,,
84,01179c17-ead6-4e48-b616-ed5e201d1470,,,,,,,,,
85,01244f81-c758-4842-9b51-daeca47be98f,,,,,,Medicaid or CHIP,,,
86,01245204-7153-4cf6-95ae-5680cd23728f,,,,,,Private (through parent/caregiver),,,
87,01277460-e446-4576-b2b2-8fff839fcdb9,,,,,,Private (through parent/caregiver),,,
88,012f93d4-5229-4040-907d-31b15d2fa9e3,,,,,,,,,
89,012f9f13-a89d-41aa-992a-3a0ffffc6fdf,,,,,,Private (through parent/caregiver),,,
90,01358a3a-4232-474c-b336-4efc9e1a111f,"Over $75,000",Yes,Yes,,No,Private (through parent/caregiver),1,Employed full-time outside of the home,74.0
91,0137c6ef-be72-4e5a-99ae-ecf18ab986c0,,,,,,None,,,
92,0138c678-c171-4cab-afd5-34b61ddb50d2,,,,,,Private (through parent/caregiver),,,
93,01390aa9-0dd5-4b44-8da4-83381581e797,,,,,,Private (through parent/caregiver),,,
94,0139af6d-e9f5-4637-b868-d2a72ecf8281,,,,,,Medicaid or CHIP,,,
95,013bcbd1-f1a1-4699-83a0-6251b30f339a,,,,,,,,,
96,013c6d41-b777-4dd4-b066-d24eb3af6a74,,,,,,Medicaid or CHIP,,,
97,014641f8-ffc7-4ba4-a0e5-3c3660aea97b,,,,,,Medicaid or CHIP,,,
98,01550b4e-df03-4c23-acfb-260b571e52b6,,,,,,Private (through parent/caregiver),,,
99,015ed99b-eb31-4a7c-b75c-6d223a4befbe,,,,,,,,,
100,01601a15-d3af-445d-bbab-784a71f7dd93,,,,,,Private (through parent/caregiver),,,
101,0162849a-1254-459b-b454-c73fd602599c,,,,,,None,,,
102,01630ab8-44cb-400d-aa8c-ec92e2336176,,,,,,Private (through parent/caregiver),,,
103,016e4cf9-5a25-45f5-959f-4bd4c129e4cd,,,,,,,,,
104,0172dc13-7802-47b9-9010-520c4390eb7e,,,,,,Medicaid or CHIP,,,
105,0178818c-d74c-4e95-872b-cefa49bec700,,,,,,Private (through parent/caregiver),,,
